Nama Produk;Harga;Toko;Lokasi;Rating;Terjual
PC Gaming Core i7 13700F | RTX 4070 12GB | RAM 32GB | Mantul GEN 13;Rp16.725.000;BCM Computer_NEW;Bandung;5.0;3 terjual
PC Editing Render Monster. Core i9 32 cpus RAM 128 GB RTX 4070 21 GBPS;Rp39.990.000;Kosen Komputer Jogja_NEW;Kab. Sleman;5.0;1 terjual
PC GAMING RYZEN 5 7500F + RTX 4070;Rp19.200.000;TIGA SERIGALA TEKNOLOGI;Jakarta Utara;N/A;N/A
"PC LENOVO Legion T5 26IRB8 i7-14700KF 1TB SSD RTX 4070 12GB Windows 11 Home OHS 2021 + Monitor 27"" Y27Q-20 90UU00KSID KSID Gaming Desktop";Rp48.399.900;Revo Technology;Jakarta Pusat;N/A;N/A
PC Gaming Cooler Master Sneaker X | i7-14700KF | D5 2x16GB | 2TB SSD NVME | RTX 4070 SUPER - CHASSIS ONLY;Rp48.499.000;vectacom;Jakarta Pusat;N/A;N/A
PC Gaming Design Office Intel i7 12700F RAM 16GB RTX 4070 12 GB;Rp25.800.000;Evcys Computer id;Jakarta Selatan;5.0;2 terjual
PC Gaming AMD Ryzen 7 5700X VGA RTX 4070 12GB RAM 32GB SSD NVME 1TB;Rp13.445.000;V-Rey Computer;Bandung;N/A;N/A
MINI PC GAMING 14TH GEN INTEL CORE I9-14900F 64GB RAM 2TB SSD RTX 4070 12GB VRAM;Rp29.700.000;MYCOMSHOP;Jakarta Utara;N/A;N/A
PC Gaming Intel Core i7 14700K / DDR5 32GB / RTX 4070 12GB / NVME PCIE Gen 4 1TB;Rp17.876.000;MitraJaya Computer;Bandung;N/A;N/A
PC Gaming Myth Alder 5 LE GeForce RTX 4070 Family - Ryzen 5;Rp25.379.000;Kosmetikazula54;Cimahi;N/A;N/A
DK PC CARNAGE V14.7 WHITE | B760 | i7 14700F | RTX 4070 SUPER | RAM 32GB | SSD 1TB | 750W GOLD RAKITAN GAMING PC;Rp29.019.000;distributorkomputer;Jakarta Pusat;5.0;26 terjual
GIGABYTE Desktop IV | i9-14900KF | RTX 4070 Ti SUPER | 32GB | Rakitan Gaming PC;Rp34.650.000;Gigabyte Component;Jakarta Utara;5.0;1 terjual
"PC Rendering Intel i5 13500 - B760 - 32GB DDR5 - M.2 1TB - RTX 4070 12GB - MONITOR 27"" 165HZ";Rp29.165.000;DOUBLEYOU SEVEN;Jakarta Selatan;5.0;1 terjual
COC GAMER'S BOX X Gaptech.id V20.0 - Paket PC Rakitan GeForce RTX 4070 SUPER;Rp26.499.000;COC Komputer;Jakarta Pusat;5.0;2 terjual
PC Build Intel Core i5 13600K | SSD PCIE 4.0 2TB + 1TB | RAM 32GB 64000Mhz | VGA RTX 4070 Super White 12GB Igame | B760M Mortar Max Wifi;Rp31.745.000;STAR17 COM;Jakarta Selatan;5.0;1 terjual
PC Build Intel Core ultra 7 265K - 32GB DDR5 -  SSD 1tb Gen4 - Geforce RTX 4070 Super 12GB - 3D Render Gaming Editing;Rp28.599.000;STAR17 COM;Jakarta Selatan;5.0;2 terjual
PC Build AMD Ryzen 7 7800X3D - B650E ITX - DDR5 32GB - RTX 4070 12GB;Rp34.900.000;STAR17 COM;Jakarta Selatan;5.0;3 terjual
PC BUILD AMD RYZEN 7 7700X | 32GB DDR5 | SSD 1TB GEN4 | VGA GEFORCE RTX 4070 SUPER 12GB | GAMING EDITING RENDER;Rp36.167.000;STAR17 COM;Jakarta Selatan;5.0;1 terjual
PC Gaming Render Intel core i7 14700K | Z790 | 32GB DDR5 | 1TB NVME SSD | RTX 4070 SUPER 12GB;Rp31.990.000;STAR17 COM;Jakarta Selatan;5.0;1 terjual
PC Build Rakitan Gaming Render AMD Ryzen 9 9950X - 32GB DDR5 - VGA RTX 4070 TI Super 16GB - SSD 2TB NVME;Rp72.655.000;STAR17 COM;Jakarta Selatan;5.0;2 terjual
